id,type,title,author,auth_gender,year,lang,file_x,file_y
journal-article-10.2307_1486423,research-article,A Sociological Portrait of German Jewish Immigrants in Boston: 1845-1861,Stephen G. Mostov,male,1978,eng,journal-article-10.2307_1486423.xml,journal-article-10.2307_1486423-ngram1.txt
journal-article-10.2307_1486465,research-article,"Lawrence Perlman's ""Buber's Anti-Kantianism"": A Reply",Steven T. Katz,male,1990,eng,journal-article-10.2307_1486465.xml,journal-article-10.2307_1486465-ngram1.txt
journal-article-10.2307_4131787,book-review,,Gordon M. Freeman,male,2003,eng,journal-article-10.2307_4131787.xml,journal-article-10.2307_4131787-ngram1.txt
journal-article-10.2307_1566672,book-review,"
          ",James S. Diamond,male,2000,eng,journal-article-10.2307_1566672.xml,journal-article-10.2307_1566672-ngram1.txt
journal-article-10.2307_27564391,book-review,,Alisa Braun,female,2008,eng,journal-article-10.2307_27564391.xml,journal-article-10.2307_27564391-ngram1.txt
journal-article-10.2307_41310629,book-review,,Ryan Szpiech,mostly_male,2011,eng,journal-article-10.2307_41310629.xml,journal-article-10.2307_41310629-ngram1.txt
journal-article-10.2307_27564389,book-review,,Lisa Lampert-Weissig,female,2008,eng,journal-article-10.2307_27564389.xml,journal-article-10.2307_27564389-ngram1.txt
journal-article-10.2307_1486282,research-article,Scripture Commentary in the Babylonian Talmud: Primary or Secondary Phenomenon?,David Kraemer,male,1989,eng,journal-article-10.2307_1486282.xml,journal-article-10.2307_1486282-ngram1.txt
journal-article-10.2307_1486536,book-review,"
         ",Laurence D. Loeb,female,1999,eng,journal-article-10.2307_1486536.xml,journal-article-10.2307_1486536-ngram1.txt
journal-article-10.2307_1487001,book-review,"
          ",Daniel Gold,male,1991,eng,journal-article-10.2307_1487001.xml,journal-article-10.2307_1487001-ngram1.txt
journal-article-10.2307_27564320,book-review,,Judith W. Page,female,2007,eng,journal-article-10.2307_27564320.xml,journal-article-10.2307_27564320-ngram1.txt
journal-article-10.2307_1566679,research-article,"
               ‮פולמוס אתרוגי קורפו ורקעו ההיסטורי‬ 
            ",‮יוסף שלמון‬,unknown,2000,heb,journal-article-10.2307_1566679.xml,journal-article-10.2307_1566679-ngram1.txt
journal-article-10.2307_1566669,book-review,"
          ",Hillel J. Kieval,male,2000,eng,journal-article-10.2307_1566669.xml,journal-article-10.2307_1566669-ngram1.txt
journal-article-10.2307_4131696,research-article,The Motif of Blood and Procreation in Franz Rosenzweig,,unknown,2002,eng,journal-article-10.2307_4131696.xml,journal-article-10.2307_4131696-ngram1.txt
journal-article-10.2307_1486508,book-review,"
         ",Rachel Simon,female,1995,eng,journal-article-10.2307_1486508.xml,journal-article-10.2307_1486508-ngram1.txt
journal-article-10.2307_24273662,book-review,,Alan Appelbaum,male,2014,eng,journal-article-10.2307_24273662.xml,journal-article-10.2307_24273662-ngram1.txt
journal-article-10.2307_1486714,book-review,"
         ",Pinchas Giller,male,1996,eng,journal-article-10.2307_1486714.xml,journal-article-10.2307_1486714-ngram1.txt
journal-article-10.2307_4131836,book-review,,Robert M. Seltzer,male,2005,eng,journal-article-10.2307_4131836.xml,journal-article-10.2307_4131836-ngram1.txt
journal-article-10.2307_25654610,book-review,The New Spatial Turn in Jewish Studies,Charlotte Elisheva Fonrobert,female,2009,eng,journal-article-10.2307_25654610.xml,journal-article-10.2307_25654610-ngram1.txt
journal-article-10.2307_1486957,book-review,"
         ",Jeremy Cohen,male,1992,eng,journal-article-10.2307_1486957.xml,journal-article-10.2307_1486957-ngram1.txt
journal-article-10.2307_25654615,book-review,,Eric Lawee,male,2009,eng,journal-article-10.2307_25654615.xml,journal-article-10.2307_25654615-ngram1.txt
journal-article-10.2307_27564273,book-review,,Hava Tirosh-Samuelson,female,2007,eng,journal-article-10.2307_27564273.xml,journal-article-10.2307_27564273-ngram1.txt
journal-article-10.2307_41310624,research-article,"A Serious Man in Situ: ""Fear and Loathing in St. Louis Park""",Riv-Ellen Prell,unknown,2011,eng,journal-article-10.2307_41310624.xml,journal-article-10.2307_41310624-ngram1.txt
journal-article-10.2307_1486710,book-review,"
         ",Stephen D. Benin,male,1996,eng,journal-article-10.2307_1486710.xml,journal-article-10.2307_1486710-ngram1.txt
journal-article-10.2307_1486630,book-review,"
         ",Stanley Isser,male,1994,eng,journal-article-10.2307_1486630.xml,journal-article-10.2307_1486630-ngram1.txt
journal-article-10.2307_1486871,book-review,"
         ",Scott B. Noegel,male,1997,eng,journal-article-10.2307_1486871.xml,journal-article-10.2307_1486871-ngram1.txt
journal-article-10.2307_27564258,research-article,Rabbinic Polysemy and Pluralism Revisited: Between Praxis and Thematization,Steven D. Fraade,male,2007,eng,journal-article-10.2307_27564258.xml,journal-article-10.2307_27564258-ngram1.txt
journal-article-10.2307_1486929,book-review,,Shaul Magid,male,1998,eng,journal-article-10.2307_1486929.xml,journal-article-10.2307_1486929-ngram1.txt
journal-article-10.2307_1486928,book-review,,Howard Lupovitch,male,1998,eng,journal-article-10.2307_1486928.xml,journal-article-10.2307_1486928-ngram1.txt
journal-article-10.2307_27564307,book-review,,Kalman P. Bland,unknown,2007,eng,journal-article-10.2307_27564307.xml,journal-article-10.2307_27564307-ngram1.txt
journal-article-10.2307_1566673,book-review,"
          ",Elliott Rabin,male,2000,eng,journal-article-10.2307_1566673.xml,journal-article-10.2307_1566673-ngram1.txt
journal-article-10.2307_1486770,book-review,"
         ",David Nirenberg,male,1999,eng,journal-article-10.2307_1486770.xml,journal-article-10.2307_1486770-ngram1.txt
journal-article-10.2307_24273635,book-review,,R. Po-chia Hsia,unknown,2013,eng,journal-article-10.2307_24273635.xml,journal-article-10.2307_24273635-ngram1.txt
journal-article-10.2307_24273535,book-review,,Lotte C. van de Pol,female,2013,eng,journal-article-10.2307_24273535.xml,journal-article-10.2307_24273535-ngram1.txt
journal-article-10.2307_40982846,book-review,,Andrew S. Jacobs,male,2010,eng,journal-article-10.2307_40982846.xml,journal-article-10.2307_40982846-ngram1.txt
journal-article-10.2307_1486873,book-review,"
         ",David Goodblatt,male,1997,eng,journal-article-10.2307_1486873.xml,journal-article-10.2307_1486873-ngram1.txt
journal-article-10.2307_27564283,book-review,,Willi Goetschel,male,2007,eng,journal-article-10.2307_27564283.xml,journal-article-10.2307_27564283-ngram1.txt
journal-article-10.2307_1486506,book-review,"
         ",Zev Garber,male,1995,eng,journal-article-10.2307_1486506.xml,journal-article-10.2307_1486506-ngram1.txt
journal-article-10.2307_4131718,book-review,,Mark Washofsky,male,2002,eng,journal-article-10.2307_4131718.xml,journal-article-10.2307_4131718-ngram1.txt
journal-article-10.2307_24273531,book-review,,Kalman P. Bland,unknown,2013,eng,journal-article-10.2307_24273531.xml,journal-article-10.2307_24273531-ngram1.txt
journal-article-10.2307_40982841,research-article,"Between Past and Present, Jew and Arab: An Exchange between Gil Anidjar and David N. Myers: The Sound of a Tree",Gil Anidjar,male,2010,eng,journal-article-10.2307_40982841.xml,journal-article-10.2307_40982841-ngram1.txt
journal-article-10.2307_4131724,book-review,,Dana Evan Kaplan,female,2002,eng,journal-article-10.2307_4131724.xml,journal-article-10.2307_4131724-ngram1.txt
journal-article-10.2307_25654618,book-review,,Willi Goetschel,male,2009,eng,journal-article-10.2307_25654618.xml,journal-article-10.2307_25654618-ngram1.txt
journal-article-10.2307_40982856,book-review,,Matthias Lehmann,male,2010,eng,journal-article-10.2307_40982856.xml,journal-article-10.2307_40982856-ngram1.txt
journal-article-10.2307_1486468,book-review,"
         ",Lance J. Sussman,male,1990,eng,journal-article-10.2307_1486468.xml,journal-article-10.2307_1486468-ngram1.txt
journal-article-10.2307_1486898,book-review,"
         ",Joseph Davis,male,1990,eng,journal-article-10.2307_1486898.xml,journal-article-10.2307_1486898-ngram1.txt
journal-article-10.2307_1486278,book-review,"
         ",Stanley Nash,male,1985,eng,journal-article-10.2307_1486278.xml,journal-article-10.2307_1486278-ngram1.txt
journal-article-10.2307_1486311,research-article,Three Trousseaux of Jewish Brides from the Fatimid Period,Shelomo Dov Goitein,unknown,1977,eng,journal-article-10.2307_1486311.xml,journal-article-10.2307_1486311-ngram1.txt
journal-article-10.2307_1486409,research-article,"Anglo-Jewry and the Jewish International Traffic in Prostitution, 1885-1914",Lloyd P. Gartner,male,1982,eng,journal-article-10.2307_1486409.xml,journal-article-10.2307_1486409-ngram1.txt
journal-article-10.2307_4131654,book-review,,Y. Michal Bodemann,unknown,2006,eng,journal-article-10.2307_4131654.xml,journal-article-10.2307_4131654-ngram1.txt
journal-article-10.2307_24273646,research-article,The Animalistic Gullet and the Godlike Soul: Reframing Sacrifice in Midrash Leviticus Rabbah,Mira Balberg,female,2014,eng,journal-article-10.2307_24273646.xml,journal-article-10.2307_24273646-ngram1.txt
journal-article-10.2307_4131585,book-review,"
         ",,unknown,2002,eng,journal-article-10.2307_4131585.xml,journal-article-10.2307_4131585-ngram1.txt
journal-article-10.2307_4131515,research-article,"Jew, Zionist, Hebrew, or Israeli? Transformations in the Identity of Jacob in the Novels of Benjamin Tammuz and Meir Shalev",,unknown,2004,eng,journal-article-10.2307_4131515.xml,journal-article-10.2307_4131515-ngram1.txt
journal-article-10.2307_4131646,book-review,,Alan T. Levenson,male,2006,eng,journal-article-10.2307_4131646.xml,journal-article-10.2307_4131646-ngram1.txt
journal-article-10.2307_1486384,book-review,"
         ",David N. Myers,male,1987,eng,journal-article-10.2307_1486384.xml,journal-article-10.2307_1486384-ngram1.txt
journal-article-10.2307_23319578,book-review,,Deeana Klepper,unknown,2012,eng,journal-article-10.2307_23319578.xml,journal-article-10.2307_23319578-ngram1.txt
journal-article-10.2307_41310660,book-review,,Stanley Mirvis,male,2011,eng,journal-article-10.2307_41310660.xml,journal-article-10.2307_41310660-ngram1.txt
journal-article-10.2307_1486571,research-article,"Philosophy, Dogma, and Exegesis in Medieval Ashkenazic Judaism: The Evidence of ""Sefer Hadrat Qodesh""",Joseph M. Davis,male,1993,eng,journal-article-10.2307_1486571.xml,journal-article-10.2307_1486571-ngram1.txt
journal-article-10.2307_1486907,book-review,,Haym Soloveitchik,unknown,1998,eng,journal-article-10.2307_1486907.xml,journal-article-10.2307_1486907-ngram1.txt
journal-article-10.2307_1486857,book-review,"
         ",Ephraim Tabory,male,1995,eng,journal-article-10.2307_1486857.xml,journal-article-10.2307_1486857-ngram1.txt
journal-article-10.2307_1486784,book-review,"
         ",Herbert Bronstein,male,1999,eng,journal-article-10.2307_1486784.xml,journal-article-10.2307_1486784-ngram1.txt
journal-article-10.2307_4131626,book-review,,Robert A. Rockaway,male,2003,eng,journal-article-10.2307_4131626.xml,journal-article-10.2307_4131626-ngram1.txt
journal-article-10.2307_1486426,research-article, ‎‮תמונת מחוג שוחרי העברית בברלין‬‎‎ (1914-1900)‬ ,‮שלמה נש‬,unknown,1978,heb,journal-article-10.2307_1486426.xml,journal-article-10.2307_1486426-ngram1.txt
journal-article-10.2307_1486766,book-review,"
         ",Hayim Lapin,unknown,1999,eng,journal-article-10.2307_1486766.xml,journal-article-10.2307_1486766-ngram1.txt
journal-article-10.2307_4131716,book-review,,Diane Wolfthal,female,2002,eng,journal-article-10.2307_4131716.xml,journal-article-10.2307_4131716-ngram1.txt
journal-article-10.2307_4131798,book-review,,Zachary Braiterman,male,2003,eng,journal-article-10.2307_4131798.xml,journal-article-10.2307_4131798-ngram1.txt
journal-article-10.2307_1486917,book-review,,Renée Levine Melammed,female,1998,eng,journal-article-10.2307_1486917.xml,journal-article-10.2307_1486917-ngram1.txt
journal-article-10.2307_40982805,research-article,He Took the Knife: Biblical Narrative and the Formation of Rabbinic Law,Jane Kanarek,female,2010,eng,journal-article-10.2307_40982805.xml,journal-article-10.2307_40982805-ngram1.txt
journal-article-10.2307_1486542,book-review,"
         ",Gary S. Schiff,male,1999,eng,journal-article-10.2307_1486542.xml,journal-article-10.2307_1486542-ngram1.txt
journal-article-10.2307_41310642,book-review,,Lynn Davidman,mostly_female,2011,eng,journal-article-10.2307_41310642.xml,journal-article-10.2307_41310642-ngram1.txt
journal-article-10.2307_1486306,research-article,The Household Table in Rabbinic Palestine,Joseph Tabory,male,1979,eng,journal-article-10.2307_1486306.xml,journal-article-10.2307_1486306-ngram1.txt
journal-article-10.2307_1486912,book-review,,Moshe J. Bernstein,male,1998,eng,journal-article-10.2307_1486912.xml,journal-article-10.2307_1486912-ngram1.txt
journal-article-10.2307_1486315,research-article,The Jewish Mercantile Settlement of Twelfth and Thirteenth Century Venice: Reality or Conjecture?,Benjamin Ravid,male,1977,eng,journal-article-10.2307_1486315.xml,journal-article-10.2307_1486315-ngram1.txt
journal-article-10.2307_4131665,research-article,A Dignitary in the Land? Literary Representations of the American Rabbi,,unknown,2006,eng,journal-article-10.2307_4131665.xml,journal-article-10.2307_4131665-ngram1.txt
