id,type,title,auth1,auth_gender,year
journal-article-10.2307_24273577,research-article,מנגנון הבחירה אצל הרמב״ם,Shalom Tzadik ,male,2014
journal-article-10.2307_24273681,research-article,מגרש Maoz Kahana מפרשבורג: פרק בחשיבה המדעית של ר׳ משה סופר,Maoz Kahanah כהנא,male,2014
journal-article-10.2307_24273549,research-article,הערות על דרכי השימוש של ר' נפתלי גכו־ד במקורות טרופ-לוריאבימ,Eliezer Baumgarten באומגרטן,male,2013
journal-article-10.2307_24273642,research-article,הוראת מדעים בחינוך הקראי: פרקים בלימוד הקראי של ׳רוח חך׳,Maoz Kahana ,male,2013
journal-article-10.2307_24273643,research-article,משנים את מידות העולם: חוג הלומדים המהפכני בקלויז בדודי ומהפכת יחידות המידה בראשית העת החדשה,Opher Elior כהנא,male,2013
journal-article-10.2307_41310678,research-article,עקידת יצהק בספך חווחך- מכיסוד לההנסוה,Yishdali Oded,male,2011
journal-article-10.2307_25654659,research-article,‮םימכחה לש תיתכלהה תודדומתהה תלאשב םיירוטסיה םינויע דומלתהו הנשמה ימיב לארשי-ץראב אמורו ןווי תוברת םע‬,Emmanuel Freidheim,male,2009
journal-article-10.2307_4131839,research-article,"
           השבת אבדה בהלכההתנאי ה והאמוראית ׃ציון פילוםופי רא שוניבהתהוו תה של קונםפציה 
        ","
             Ariel Furstenberg 
          ",male,2005
journal-article-10.2307_4131552,research-article,"
           התרחבות בהלכה כהיתוך אופקים פרשני׃ ההמתנהבין בשר לחלב כמקרה מ בחן 
        ","
             Avitzer Avraham Stolzmaz
          ",male,2004
journal-article-10.2307_4131616,book-review,,W. David Nelson,male,2003
journal-article-10.2307_4131804,research-article,"
           צﬥ דס， טומאה והיחס ﬥגוף באסכולות ההלכתיות בימי בית שני， המשנה והתלמוד 
        ","
             Eyal Regev
          ",male,2003
journal-article-10.2307_4131728,research-article,מפתיחות להסתגרות׃ מניצי התמורה ביחסה של האליטה התוךנית המזרח תיכונית לצרכי המודרנה,"
             Yaron Harel
          ",male,2002
journal-article-10.2307_1566679,research-article,"
               ‮פולמוס אתרוגי קורפו ורקעו ההיסטורי‬ 
            ",Yosef Shalmon,male,2000
journal-article-10.2307_1486752,research-article, ‮בין תפילה למדרש: יציאת מצרים בקידוש של שבת ובתפילתה ‬ ,Elinoar Barket,male,1998
journal-article-10.2307_1486941,research-article," ‮״החבר המעולה״ או ״הבוגד המעולה״:מנהיג שנוי במחלוקת עלי בן עמרם, ראש קהל הירושלמיים בפסטאט במחצית השנייה של המאה האחת־עשרה ",David Henshke,male,1998
journal-article-10.2307_1486568,research-article, ‮בחיפוש אחר הז׳אנר: הז׳אנרים הסיפרותיים בראשיתה של ההשכלה העברית בגרמניה ‬ ,Moshe Pelai,male,1997
journal-article-10.2307_1486890,research-article, ‮האם יש מקור אחר לתוספתות התרגום לנביאים? ‬ ,Rimon Kasher,male,1997
journal-article-10.2307_1486729,research-article, ‮פסח זה על שום מה?‬ ,Shaul Regev,male,1996
journal-article-10.2307_1486730,research-article, ‮עיקרי אמונה בהגותו של ר׳ יואל אבן שועייב ‬ ,Aharon Shemesh,male,1996
journal-article-10.2307_1486619,research-article, ‮ר׳ יהודה הלוי על הנצרות ועל המדע הנסיוני ‬ ,Zvi Zohar,male,1994
journal-article-10.2307_1486650,research-article, ‮מקוה ישראל ה׳‬ ,Dov Schwartz,male,1994
journal-article-10.2307_1486817,research-article," ‮פולמוס על שיטת ה""שמירה״:לתולדות לימוד פירוש רש״י על התורה בדור גירוש ספרד ‬ ",Avraham Gross,male,1993
journal-article-10.2307_1486983,research-article, ‮קיצור ל׳כד הקמח׳ מאת ר׳ שם טוב אבן שפרוט ‬ ,Dov Schwartz,male,1992
journal-article-10.2307_1486434,research-article, ‮כהנחיה לתלמיד משל ארמון המלך ב׳מורה הנבוכים׳‬ ,Zvi Zohar,male,1989
journal-article-10.2307_1486365,research-article, ‮הלכה ואגדה במשנתו של הרב קוק‬ ,Ehud Luz,male,1986
journal-article-10.2307_1486417,research-article,"
           ‮משמעותו וגילגוליו של נסיון שנכשל אברהם אבולעפיה והאפיפיור‬ 
        ",Moshe Idel,male,1982
journal-article-10.2307_1486456,research-article, ‮לתולדות האיסור ללמוד קבלה לפני גיל ארבעים ‬ ,Moshe Idel,male,1980
journal-article-10.2307_1486457,research-article, ‮שריד משיר חול לרבי יהודה הלוי‬ ,Dan Pagis,male,1980
journal-article-10.2307_1486458,research-article, ‮שמעון בירבי מגס הפייטן ויצירתו ‬ ,Yosef Yahalom,male,1980
journal-article-10.2307_1486307,research-article, ‮על ר׳ משה נרבוני ור׳ אברהם שלום על השפעתו של ס׳ אור השכל‬ ,Moshe Idel,male,1979
journal-article-10.2307_1486426,research-article, ‎‮תמונת מחוג שוחרי העברית בברלין‬‎‎ (1914-1900)‬ ,Shlomo Nash,male,1978
journal-article-10.2307_1486317,research-article, ‮ ״וחכם באחור ישבחנה״: על הסאטירה ״כתב־יושר״ עבדון בן הלל הידעוני ,Yehudah Friedlander,male,1977
journal-article-10.2307_1486344,research-article, ‮מלחמת הפסוקים של מומר‬ ,Yehudah Rosenthal,male,1976
journal-article-10.2307_24273677,book-review,,Hankus Netsky,male,2014
journal-article-10.2307_24273540,book-review,,Hizky Shoham,male,2013
journal-article-10.2307_24273626,research-article,Can Secular Spirituality be Religiously Inspired? The Hasidic Legacy in the Eyes of Skeptics,Nicham Ross,male,2013
journal-article-10.2307_24273635,book-review,,R. Po-chia Hsia,male,2013
journal-article-10.2307_24273641,book-review,,Aomar Boum,male,2013
journal-article-10.2307_4131654,book-review,,Y. Michal Bodemann,male,2006
journal-article-10.2307_4131690,book-review,,Berel Lang,male,2006
journal-article-10.2307_4131752,book-review,,R. Po-chia Hsia,male,2005
journal-article-10.2307_4131758,book-review,,Berel Lang,male,2005
journal-article-10.2307_4131546,book-review,,Rehav Rubin,male,2004
journal-article-10.2307_1486535,book-review,,Berel Lang,male,1999
journal-article-10.2307_1486809,book-review,,Sheng-mei Ma,male,1993
journal-article-10.2307_1486265,book-review,,L. V. Berman,male,1985
journal-article-10.2307_1486373,research-article,The Nature of Resh in Tiberian Hebrew,E. J. Revell,male,1981
journal-article-10.2307_1486396,research-article,The Jewish Elite and the Children of the Poor: Jewish Apprenticeship Programs in Nineteenth-Century France,Lee Shai Weissbach,male,1987
journal-article-10.2307_24273663,book-review,,Ra'anan Boustan,male,2014
journal-article-10.2307_24273562,research-article,Rabbinic Polysemy: A Response to Steven Fraade,Azzan Yadin-Israel,male,2014
journal-article-10.2307_24273652,research-article,The Identity of the Apostate in the Epistle to Yemen,Haggai Mazuz,male,2014
