id,type,title,author,year,lang,file_x,file_y
journal-article-10.2307_1486423,research-article,A Sociological Portrait of German Jewish Immigrants in Boston: 1845-1861,Stephen G. Mostov,1978,eng,journal-article-10.2307_1486423.xml,journal-article-10.2307_1486423-ngram1.txt
journal-article-10.2307_1486465,research-article,"Lawrence Perlman's ""Buber's Anti-Kantianism"": A Reply",Steven T. Katz,1990,eng,journal-article-10.2307_1486465.xml,journal-article-10.2307_1486465-ngram1.txt
journal-article-10.2307_1486694,misc,Collected Studies,,1996,eng,journal-article-10.2307_1486694.xml,journal-article-10.2307_1486694-ngram1.txt
journal-article-10.2307_4131787,book-review,,Gordon M. Freeman,2003,eng,journal-article-10.2307_4131787.xml,journal-article-10.2307_4131787-ngram1.txt
journal-article-10.2307_1566672,book-review,"
          ",James S. Diamond,2000,eng,journal-article-10.2307_1566672.xml,journal-article-10.2307_1566672-ngram1.txt
journal-article-10.2307_27564391,book-review,,Alisa Braun,2008,eng,journal-article-10.2307_27564391.xml,journal-article-10.2307_27564391-ngram1.txt
journal-article-10.2307_41310629,book-review,,Ryan Szpiech,2011,eng,journal-article-10.2307_41310629.xml,journal-article-10.2307_41310629-ngram1.txt
journal-article-10.2307_27564389,book-review,,Lisa Lampert-Weissig,2008,eng,journal-article-10.2307_27564389.xml,journal-article-10.2307_27564389-ngram1.txt
journal-article-10.2307_1486282,research-article,Scripture Commentary in the Babylonian Talmud: Primary or Secondary Phenomenon?,David Kraemer,1989,eng,journal-article-10.2307_1486282.xml,journal-article-10.2307_1486282-ngram1.txt
journal-article-10.2307_1486536,book-review,"
         ",Laurence D. Loeb,1999,eng,journal-article-10.2307_1486536.xml,journal-article-10.2307_1486536-ngram1.txt
journal-article-10.2307_1487001,book-review,"
          ",Daniel Gold,1991,eng,journal-article-10.2307_1487001.xml,journal-article-10.2307_1487001-ngram1.txt
journal-article-10.2307_4131730,misc,Back Matter,,2002,eng,journal-article-10.2307_4131730.xml,journal-article-10.2307_4131730-ngram1.txt
journal-article-10.2307_27564320,book-review,,Judith W. Page,2007,eng,journal-article-10.2307_27564320.xml,journal-article-10.2307_27564320-ngram1.txt
journal-article-10.2307_1486240,misc,Collected Studies,,1988,eng,journal-article-10.2307_1486240.xml,journal-article-10.2307_1486240-ngram1.txt
journal-article-10.2307_1566679,research-article,"
               ‮פולמוס אתרוגי קורפו ורקעו ההיסטורי‬ 
            ",‮יוסף שלמון‬,2000,heb,journal-article-10.2307_1566679.xml,journal-article-10.2307_1566679-ngram1.txt
journal-article-10.2307_1486603,misc,Updated Bibliography of Alexander Altmann's Published Writings,,1994,eng,journal-article-10.2307_1486603.xml,journal-article-10.2307_1486603-ngram1.txt
journal-article-10.2307_1566669,book-review,"
          ",Hillel J. Kieval,2000,eng,journal-article-10.2307_1566669.xml,journal-article-10.2307_1566669-ngram1.txt
journal-article-10.2307_4131696,research-article,The Motif of Blood and Procreation in Franz Rosenzweig,,2002,eng,journal-article-10.2307_4131696.xml,journal-article-10.2307_4131696-ngram1.txt
journal-article-10.2307_1486508,book-review,"
         ",Rachel Simon,1995,eng,journal-article-10.2307_1486508.xml,journal-article-10.2307_1486508-ngram1.txt
journal-article-10.2307_24273662,book-review,,Alan Appelbaum,2014,eng,journal-article-10.2307_24273662.xml,journal-article-10.2307_24273662-ngram1.txt
journal-article-10.2307_1487009,misc,Books Received,,1991,eng,journal-article-10.2307_1487009.xml,journal-article-10.2307_1487009-ngram1.txt
journal-article-10.2307_1486714,book-review,"
         ",Pinchas Giller,1996,eng,journal-article-10.2307_1486714.xml,journal-article-10.2307_1486714-ngram1.txt
journal-article-10.2307_4131836,book-review,,Robert M. Seltzer,2005,eng,journal-article-10.2307_4131836.xml,journal-article-10.2307_4131836-ngram1.txt
journal-article-10.2307_25654610,book-review,The New Spatial Turn in Jewish Studies,Charlotte Elisheva Fonrobert,2009,eng,journal-article-10.2307_25654610.xml,journal-article-10.2307_25654610-ngram1.txt
journal-article-10.2307_1486401,misc,Books Received,,1987,eng,journal-article-10.2307_1486401.xml,journal-article-10.2307_1486401-ngram1.txt
journal-article-10.2307_1486957,book-review,"
         ",Jeremy Cohen,1992,eng,journal-article-10.2307_1486957.xml,journal-article-10.2307_1486957-ngram1.txt
journal-article-10.2307_25654615,book-review,,Eric Lawee,2009,eng,journal-article-10.2307_25654615.xml,journal-article-10.2307_25654615-ngram1.txt
journal-article-10.2307_27564273,book-review,,Hava Tirosh-Samuelson,2007,eng,journal-article-10.2307_27564273.xml,journal-article-10.2307_27564273-ngram1.txt
journal-article-10.2307_41310624,research-article,"A Serious Man in Situ: ""Fear and Loathing in St. Louis Park""",Riv-Ellen Prell,2011,eng,journal-article-10.2307_41310624.xml,journal-article-10.2307_41310624-ngram1.txt
journal-article-10.2307_1486710,book-review,"
         ",Stephen D. Benin,1996,eng,journal-article-10.2307_1486710.xml,journal-article-10.2307_1486710-ngram1.txt
journal-article-10.2307_1486630,book-review,"
         ",Stanley Isser,1994,eng,journal-article-10.2307_1486630.xml,journal-article-10.2307_1486630-ngram1.txt
journal-article-10.2307_1486871,book-review,"
         ",Scott B. Noegel,1997,eng,journal-article-10.2307_1486871.xml,journal-article-10.2307_1486871-ngram1.txt
journal-article-10.2307_27564258,research-article,Rabbinic Polysemy and Pluralism Revisited: Between Praxis and Thematization,Steven D. Fraade,2007,eng,journal-article-10.2307_27564258.xml,journal-article-10.2307_27564258-ngram1.txt
journal-article-10.2307_1486929,book-review,,Shaul Magid,1998,eng,journal-article-10.2307_1486929.xml,journal-article-10.2307_1486929-ngram1.txt
journal-article-10.2307_1486928,book-review,,Howard Lupovitch,1998,eng,journal-article-10.2307_1486928.xml,journal-article-10.2307_1486928-ngram1.txt
journal-article-10.2307_27564307,book-review,,Kalman P. Bland,2007,eng,journal-article-10.2307_27564307.xml,journal-article-10.2307_27564307-ngram1.txt
journal-article-10.2307_1566673,book-review,"
          ",Elliott Rabin,2000,eng,journal-article-10.2307_1566673.xml,journal-article-10.2307_1566673-ngram1.txt
journal-article-10.2307_1486770,book-review,"
         ",David Nirenberg,1999,eng,journal-article-10.2307_1486770.xml,journal-article-10.2307_1486770-ngram1.txt
journal-article-10.2307_24273635,book-review,,R. Po-chia Hsia,2013,eng,journal-article-10.2307_24273635.xml,journal-article-10.2307_24273635-ngram1.txt
journal-article-10.2307_24273535,book-review,,Lotte C. van de Pol,2013,eng,journal-article-10.2307_24273535.xml,journal-article-10.2307_24273535-ngram1.txt
journal-article-10.2307_40982846,book-review,,Andrew S. Jacobs,2010,eng,journal-article-10.2307_40982846.xml,journal-article-10.2307_40982846-ngram1.txt
journal-article-10.2307_1486873,book-review,"
         ",David Goodblatt,1997,eng,journal-article-10.2307_1486873.xml,journal-article-10.2307_1486873-ngram1.txt
journal-article-10.2307_1486791,misc,Collected Studies,,1999,eng,journal-article-10.2307_1486791.xml,journal-article-10.2307_1486791-ngram1.txt
journal-article-10.2307_27564283,book-review,,Willi Goetschel,2007,eng,journal-article-10.2307_27564283.xml,journal-article-10.2307_27564283-ngram1.txt
journal-article-10.2307_1486506,book-review,"
         ",Zev Garber,1995,eng,journal-article-10.2307_1486506.xml,journal-article-10.2307_1486506-ngram1.txt
journal-article-10.2307_4131519,misc,Back Matter,,2004,eng,journal-article-10.2307_4131519.xml,journal-article-10.2307_4131519-ngram1.txt
journal-article-10.2307_4131718,book-review,,Mark Washofsky,2002,eng,journal-article-10.2307_4131718.xml,journal-article-10.2307_4131718-ngram1.txt
journal-article-10.2307_24273531,book-review,,Kalman P. Bland,2013,eng,journal-article-10.2307_24273531.xml,journal-article-10.2307_24273531-ngram1.txt
