source,target
254,832
254,1495
254,2262
254,1495
254,618
254,2177
254,1618
254,743
254,322
254,3498
254,2718
254,3498
254,159
254,343
254,159
254,1941
171,1755
171,1406
171,2020
171,1812
171,3183
168,3581
168,3
168,392
168,2121
168,3538
168,1276
168,256
168,1276
168,3581
168,952
168,3413
168,1414
168,238
168,2121
168,256
168,1407
168,2041
168,1276
168,1414
168,2041
168,1276
168,2109
168,168
168,135
168,2121
168,952
168,765
168,2439
168,952
168,168
168,2385
168,2741
168,1537
168,2041
168,1276
168,2041
168,1276
168,2670
168,256
168,1276
168,1276
168,1537
168,2491
168,256
168,2462
168,768
168,687
168,1857
168,1096
168,1276
168,256
168,238
168,1067
168,146
168,279
168,238
292,1926
292,2440
292,1706
292,1264
292,2111
267,530
267,3458
267,1164
267,1969
159,946
159,3318
159,1433
159,111
159,3249
159,1653
159,3211
159,2578
159,2198
159,159
159,3338
159,3069
159,1605
280,3430
280,1628
280,3482
280,2109
280,165
280,2001
280,917
280,68
280,2991
280,2670
280,2752
280,2670
280,2488
280,2462
280,457
280,2462
280,2782
280,244
280,98
280,1840
280,2670
280,2670
280,2670
280,2121
280,952
280,3192
280,3086
280,2462
280,2121
280,1169
280,9
280,141
280,2462
280,2670
280,2670
280,2670
280,2670
280,2670
280,2670
280,2690
280,2670
280,1537
280,2670
280,2670
280,2670
280,2670
280,19
280,156
280,244
280,2670
280,2670
280,2670
280,2670
280,2670
280,2670
280,2670
280,940
280,2670
280,2670
280,465
280,1537
280,3342
280,61
280,1079
280,700
280,1095
280,1095
280,1511
280,1121
280,1473
280,3321
280,1095
280,2059
280,3305
280,1095
280,1095
280,2670
280,2670
280,2059
280,3372
280,2670
280,383
280,146
5,409
5,2077
5,1335
5,430
5,174
5,3523
5,587
5,2393
5,1775
5,1586
5,76
5,679
5,430
5,1586
5,1437
5,601
5,1506
5,1
5,3527
5,612
5,2340
5,1296
5,203
5,2445
5,2529
5,3415
5,1
5,2529
5,2529
5,2529
5,3415
5,1
5,2687
5,1526
5,2485
5,419
5,1
5,1586
5,1775
5,3432
5,2685
5,3432
5,1938
5,579
179,3221
179,364
179,3413
179,289
179,1857
179,2853
179,9
179,266
179,1685
179,2971
179,2018
179,917
179,3560
179,1362
179,25
179,549
179,1060
179,756
179,2991
179,1999
179,1079
179,1371
179,1891
179,1414
179,2859
179,2506
179,2041
179,1276
179,2041
179,1276
179,2670
179,77
179,950
179,1276
179,2041
179,1276
179,2041
179,1276
179,765
179,2670
179,2670
179,151
179,917
139,2828
139,2830
139,2830
139,139
139,3246
139,1765
139,2830
139,98
139,98
176,1117
176,1385
176,343
176,924
176,1532
176,501
176,2420
176,1710
176,1558
176,1892
176,467
176,2732
176,3582
176,3582
176,2855
176,329
176,504
176,2306
176,1106
176,2906
176,1902
176,1117
176,3584
176,1640
176,1484
278,277
278,3581
278,2393
278,213
278,1137
278,368
278,2019
278,2028
278,1336
278,3581
278,2254
278,758
278,1447
278,1336
278,1468
278,540
278,358
278,42
278,1337
278,3034
278,267
278,540
278,2463
278,2393
278,540
278,2393
278,2425
278,701
278,2589
278,540
278,129
