Id,label,Count,Fname,Mname,Lname
59,David Aberbach,1,David,,Aberbach
2905,Moshe Aberbach,1,Moshe,,Aberbach
1666,Israel Abraham,2,Israel,,Abraham
1292,Maggen Abraham,2,Maggen,,Abraham
2389,Lionel Abrahams,1,Lionel,,Abrahams
801,Sholem Yankev Abramovitsh,2,Sholem,Yankev,Abramovitsh
441,Hirsz Abramowicz,2,Hirsz,,Abramowicz
510,Daniel Abrams,2,Daniel,,Abrams
1936,Chimen Abramsky,2,Chimen,,Abramsky
259,Glenda Abramson,1,Glenda,,Abramson
2614,Henry Abramson,1,Henry,,Abramson
1998,Shraga Abramson,2,Shraga,,Abramson
1789,Don Isaac Abravanel,2,Don,Isaac,Abravanel
2018,Isaac Abravanel,2,Isaac,,Abravanel
3007,Nadia Abu-Zahra,1,Nadia,,Abu
3279,David Abudarham,1,David,,Abudarham
629,Anna Sapir Abulafia,2,Anna,Sapir,Abulafia
957,Todros Abulafia,2,Todros,,Abulafia
236,Ari Ackerman,2,Ari,,Ackerman
118,Walter I. Ackerman,1,Walter,I.,Ackerman
2650,Tiferet Adam,1,Tiferet,,Adam
1426,Camilla Adang,2,Camilla,,Adang
3225,Zvi Adar,1,Zvi,,Adar
2456,Isaac Adarbi,1,Isaac,,Adarbi
520,Howard Adelman,2,Howard,,Adelman
1623,Avraham Aderet,2,Avraham,,Aderet
752,Erich Adickes,2,Erich,,Adickes
2396,Elkan Nathan Adler,1,Elkan,Nathan,Adler
1837,Israel Adler,2,Israel,,Adler
1730,Nathan Marcus Adler,2,Nathan,Marcus,Adler
2985,Rachel Adler,1,Rachel,,Adler
783,Yitzchak Adler,2,Yitzchak,,Adler
2063,Aharon Zeev Aescoly,2,Aharon,Zeev,Aescoly
459,Ibn Aflah,2,Ibn,,Aflah
2095,Giorgio Agamben,2,Giorgio,,Agamben
2248,Joseph Agassi,1,Joseph,,Agassi
1988,Grace Aguilar,2,Grace,,Aguilar
945,Irving Agus,2,Irving,,Agus
542,Zeqan Aharon,2,Zeqan,,Aharon
2668,Reuven Aharoni,1,Reuven,,Aharoni
2922,Yohanan Aharoni,1,Yohanan,,Aharoni
2053,Eli Ahdut,2,Eli,,Ahdut
1723,Yosef Ahitov,2,Yosef,,Ahitov
1675,Klaus Aichele,2,Klaus,,Aichele
3092,Golda Akhiezer,1,Golda,,Akhiezer
1622,Joseph Ibn Aknin,2,Joseph,Ibn,Aknin
2768,Ibn al-Athir,1,Ibn,,al-Athir
342,Ibn al-Qalinisi,2,Ibn,,al-Qalinisi
2991,Chanoch Albeck,1,Chanoch,,Albeck
2991,Chanokh Albeck,1,Chanokh,,Albeck
2991,Hanokh Albeck,1,Pro-Jewish Intimations,,Albeck
3502,Schalom Albeck,1,Schalom,,Albeck
3502,Shalom Albeck,1,Shalom,,Albeck
2524,Phyllis Cohen Albert,1,Phyllis,Cohen,Albert
2721,Joseph Albo,1,Joseph,,Albo
2677,Sholem Aleichem,1,Sholem,,Aleichem
986,Natalia Aleksiun,2,Natalia,,Aleksiun
13,Elizabeth Shanks Alexander,2,Elizabeth,Shanks,Alexander
2348,YiShak Alfasi,1,YiShak,,Alfasi
3117,Henry Allen,1,Henry,,Allen
3132,Gedalyahu Allon,1,Gedalyahu,,Allon
1714,Nehemya Alloni,2,Nehemya,,Alloni
1714,Nehemia Allony,1,Nehemia,,Allony
1714,Nehemiah Allony,2,Nehemiah,,Allony
3442,Abraham Alnakar,1,Abraham,,Alnakar
647,Gedalia Alon,1,Gedalia,,Alon
647,Gedaliah Alon,2,Gedaliah,,Alon
647,Gedalyah Alon,2,Gedalyah,,Alon
647,Gedalyahu Alon,1,Gedalyahu,,Alon
1758,Maharam Alshaqar,2,Maharam,,Alshaqar
1252,Moses Alsheikh,2,Moses,,Alsheikh
2027,Albrecht Alt,2,Albrecht,,Alt
2506,Robert Alter,1,Robert,,Alter
213,Alexander Altmann,3,Alexander,,Altmann
3192,Peter Altmann,1,Peter,,Altmann
3310,Erste Mittheilungen Altona,1,Erste,Mittheilungen,Altona
58,David Altshuler,2,David,,Altshuler
1737,Mordechai Altshuler,2,Mordechai,,Altshuler
1291,Antonio Alvarez-Ossorio Alvarino,2,Antonio,,Alvarez
3199,Rosh Amanah,1,Rosh,,Amanah
3235,Sefer Amarkal,1,Sefer,,Amarkal
1551,Kenneth Ames,2,Kenneth,,Ames
2566,Alexander Amfiteatrow,1,Alexander,,Amfiteatrow
3425,Noah Aminoah,1,Noah,,Aminoah
998,Yehoshua Amir,2,Yehoshua,,Amir
137,Aaron Amit,1,Aaron,,Amit
1828,Yehudah Amital,2,Yehudah,,Amital
1702,David Werner Amram,2,David,Werner,Amram
521,Rebe Meyer Amsterdam,2,Rebe,Meyer,Amsterdam
3408,Jacob Anatoli,1,Jacob,,Anatoli
1577,Robert Anchel,2,Robert,,Anchel
1144,Perry Anderson,2,Perry,,Anderson
1601,William Andrews,2,William,,Andrews
292,Gil Anidjar,1,Gil,,Anidjar
467,Zvi Ankori,2,Zvi,,Ankori
2870,Edward Anwyl,1,Edward,,Anwyl
2519,Anthony Kwame Appiah,1,Anthony,Kwame,Appiah
928,Anne Applebaum,2,Anne,,Applebaum
3393,Victor Aptowitzer,1,Victor,,Aptowitzer
1709,Marion Aptroot,2,Marion,,Aptroot
1468,Thomas Aquinas,2,Thomas,,Aquinas
642,Sha arAtik,2,Sha,,arAtik
3267,Benjamin Arbel,1,Benjamin,,Arbel
779,Henry Archer,2,Henry,,Archer
2583,Leone Archer,1,Leone,,Archer
3109,Aaron Arend,1,Aaron,,Arend
3057,Hannah Arendt,1,le-Rabbi Azriel,,Arendt
728,Gur Arieh,2,Gur,,Arieh
263,Allan Arkush,2,Allan,,Arkush
395,Udo Arnoldi,2,Udo,,Arnoldi
3525,Julius Aronius,1,Julius,,Aronius
178,Annette Aronowicz,2,Annette,,Aronowicz
803,Boaz Arpali,2,Boaz,,Arpali
803,Boaz Arpaly,2,Boaz,,Arpaly
1521,Simha Asaf,2,Simha,,Asaf
2840,Steven Ascheim,1,Steven,,Ascheim
2840,Steven Aschheim,1,Steven,,Aschheim
201,Nehama Aschkenasy,3,Nehama,,Aschkenasy
2225,Robert Asher,1,Robert,,Asher
3190,Bezalel Ashkenazi,1,Bezalel,,Ashkenazi
2965,Eliahu Ashtor,1,Eliahu,,Ashtor
2965,Eliyahu Ashtor,1,Eliyahu,,Ashtor
1757,David Assaf,2,David,,Assaf
2823,Simha Assaf,1,Simha,,Assaf
2823,Simhla Assaf,1,Simhla,,Assaf
3511,Olivar Asselin,1,Olivar,,Asselin
1824,Moshe Assis,2,Moshe,,Assis
3522,Yom Tov Assis,1,Yom,Tov,Assis
1679,Ann Astell,2,Ann,,Astell
3021,Fred Astren,1,Fred,,Astren
2404,Anselm Astruc,1,Anselm,,Astruc
1550,Samuel Atlas,2,Samuel,,Atlas
1550,Shmuel Atlas,2,Shmuel,,Atlas
3438,Jean-Christophe Attias,1,Jean-Christophe,,Attias
16,Arnon Atzmon,1,Arnon,,Atzmon
2117,Armand Audiganne,1,Armand,,Audiganne
1207,Erich Auerbach,2,Erich,,Auerbach
2759,Leopold Auerbach,1,Leopold,,Auerbach
1082,Moses Auerbach,2,Moses,,Auerbach
2302,Nina Auerbach,1,Nina,,Auerbach
2651,Michael Avi-Yonah,1,Michael,,Avi
2008,Yeshayahu Aviad-Wolfsberg,2,Yeshayahu,,Aviad
3206,Eliyahu Avichail,1,Eliyahu,,Avichail
1765,Nahman Avigad,2,Nahman,,Avigad
1254,Manuel Vallecillo Avila,2,Manuel,Vallecillo,Avila
2648,Isaac Avinery,1,Isaac,,Avinery
1907,Ilan Avisar,2,Ilan,,Avisar
3338,Haim Avni,1,Jean-Claude Ingelaere,,Avni
2401,Magen Avraham,1,Magen,,Avraham
2056,Nishmat Avraham,2,Nishmat,,Avraham
2355,Konstantyn Awedyk,1,Konstantyn,,Awedyk
1867,Marianne Awerbach,2,Marianne,,Awerbach
557,Moshe Azar,2,Moshe,,Azar
1905,Shemini Azeret,2,Shemini,,Azeret
462,le-Rabbi Azriel,2,le-Rabbi,,Azriel
1617,Maria Benjamin Baader,2,Maria,Benjamin,Baader
3037,Franz Babinger,1,Franz,,Babinger
3158,Yair Hayyim Bacharach,1,Yair,Hayyim,Bacharach
476,Gaston Bachelard,2,Gaston,,Bachelard
3298,Wilhelm Bacher,1,Wilhelm,,Bacher
2280,Roberto Bachi,1,Roberto,,Bachi
2016,Merle Lyn Bachman,2,Merle,Lyn,Bachman
771,Fritz Backhaus,2,Fritz,,Backhaus
3588,Irena Backus,1,Irena,,Backus
430,Leo Baeck,2,Leo,,Baeck
1814,Seligmann Baer,2,Seligmann,,Baer
334,Yitzhak Baer,2,Yitzhak,,Baer
334,Yizhak Baer,2,Yizhak,,Baer
2421,Wilhelm Bahnsen,1,Wilhelm,,Bahnsen
284,Mira Baiberg,1,Mira,,Baiberg
1321,Bernard Bailyn,2,Bernard,,Bailyn
3078,Cynthia Baker,1,Cynthia,,Baker
3124,Kevin Baker,1,Kevin,,Baker
1187,Zachary Baker,2,Zachary,,Baker
469,Carol Bakhos,2,Carol,,Bakhos
331,Yitshak Bakon,2,Yitshak,,Bakon
1362,Mieke Bal,2,Mieke,,Bal
29,Avraham Balaban,1,Avraham,,Balaban
943,Meir Balaban,2,Meir,,Balaban
280,Mira Balberg,1,Mira,,Balberg
3314,Miktavim Bamberg,1,Miktavim,,Bamberg
1318,Bernard Bamberger,2,Bernard,,Bamberger
