index,word,count
13307,n,24388
10909,jewish,17390
8993,ha,15356
17571,see,15304
14554,p,13117
16066,r,12613
14303,one,12543
10905,jew,11153
2545,also,8141
15400,pp,7352
13610,new,6780
11425,l,6371
21090,would,6280
8763,god,6156
16096,rabbi,5871
3472,b,5862
19327,text,5679
19511,time,5604
8068,first,5501
9318,hebrew,5422
19968,two,5318
7500,even,5128
6849,ed,5010
20355,v,4939
18712,study,4906
4502,century,4760
12455,may,4725
5794,de,4592
20709,w,4378
18615,story,4343
21065,work,4311
10709,israel,4309
21070,world,4275
11788,life,4238
19991,u,4075
6790,e,4068
21044,woman,3968
18364,source,3962
9675,however,3909
19637,torah,3841
11552,law,3829
6576,doe,3756
21136,x,3756
16099,rabbinic,3731
19713,tradition,3679
4963,community,3670
10901,jerusalem,3666
4043,book,3641
9542,history,3558
21060,word,3534
20859,well,3468
20197,university,3421
5482,could,3363
12253,man,3340
15533,press,3304
11802,like,3273
4404,case,3272
4647,christian,3217
20798,way,3167
16572,religious,3155
14843,people,3131
21420,york,3127
14690,part,3110
3738,ben,3041
20553,view,3024
7551,example,2993
21278,year,2975
11575,le,2969
3855,biblical,2918
12208,maimonides,2907
11083,k,2906
10826,j,2892
12308,many,2881
18524,state,2853
19459,thus,2842
11885,literature,2837
15132,place,2772
13786,nn,2769
11000,judaism,2731
7801,fact,2716
6804,early,2698
16204,rather,2629
15241,point,2579
16031,question,2572
5786,day,2558
8241,form,2555
2430,al,2509
8291,found,2498
13401,name,2489
2631,among,2476
14724,passage,2444
2090,according,2442
2770,another,2400
17406,say,2395
17541,second,2389
9791,ibid,2383
19277,term,2382
17288,said,2376
13433,narrative,2351
5778,david,2332
11282,king,2329
11529,later,2314
20279,upon,2280
12224,make,2270
4902,come,2255
13119,moses,2251
19109,talmud,2234
14884,period,2213
19441,three,2211
13258,must,2195
10499,interpretation,2188
2604,american,2182
18266,society,2181
13916,note,2157
21014,within,2114
12150,made,2107
7169,end,2098
6395,discussion,2075
4524,cf,2074
7773,f,2049
6257,different,2039
11700,letter,1997
22677,של,1996
18111,since,1973
13197,much,1973
21334,yet,1968
11496,language,1961
4712,city,1952
18323,son,1948
14084,nx,1944
20312,use,1928
14389,order,1921
18260,social,1911
11485,land,1909
8476,g,1904
12999,modern,1903
5804,death,1895
